"trade_date","open","high","low","close","vol"
"20151126","213.49","213.79","211.83","212.84","18804.53"
"20151125","211.7","213","210.4","212.98","24249.81"
"20151124","212.39","213.28","210","211.69","20469.02"
"20151123","213","213.84","212.51","212.62","20994.73"
"20151120","215.14","215.78","213.1","213.72","22274.23"
"20151119","214","216","213.9","215.03","15262.76"
"20151118","213.59","216","213.59","214.66","19725.54"
"20151117","214.72","217.5","213.14","214.36","21986.35"
"20151116","212.5","216.5","212","213.78","23916.7"
"20151113","218.1","219.5","214.83","215.11","28397.18"
"20151112","220.23","223","219.38","220.01","16180.85"
"20151111","222.01","223","218.6","220.15","23815.5"
"20151110","220","224.12","219.16","222.38","28729.76"
"20151109","222","224.66","219","220.83","40527.29"
"20151106","217.35","218.6","215.56","218.42","21695.71"
"20151105","214.6","223.28","213.5","216.56","49982.58"
"20151104","210.58","216","210.11","214.98","30809.72"
"20151103","212.92","215.76","208.4","209.71","23173.29"
"20151102","214.6","215.86","212.5","212.56","15298.2"
"20151030","212.95","215.8","212.12","213.86","12257.91"
"20151029","212","214.79","212","213","13454.35"
